"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
1,1,0.575,41940,664,151182,163
1,1,0.575,83880,664,151182,163
1,1,0.575,125820,664,151182,163
1,1,0.575,167760,664,151182,163
1,1,0.575,209700,664,151182,163
1,1,0.575,419400,664,151182,163
1,1,0.575,838800,664,151182,163
1,1,0.575,1258200,664,151182,163
1,1,0.575,1677600,664,151182,163
1,1,0.575,2097000,664,151182,163
1,1,0.575,4194000,664,151182,163
1,1,0.575,8388000,664,151182,163
1,1,0.575,12582000,664,151182,163
1,1,0.575,16776000,664,151182,163
1,1,0.575,20970000,664,151182,163
1,1,0.575,2.097e+09,664,151182,163
1,1,0.575,2.097e+12,664,151182,163
1,1,0.575,2.097e+15,664,151182,163
1,1,1,419.4,1513,328399,0
1,1,1,838.8,1513,328399,0
1,1,1,1258.2,1513,328399,0
1,1,1,1677.6,1513,328399,0
1,1,1,2097,1513,328399,0
1,1,1,4194,1513,328399,0
1,1,1,8388,1513,328399,0
1,1,1,12582,1513,328399,0
1,1,1,16776,1513,328399,0
1,1,1,20970,1513,328399,0
1,1,1,41940,1513,328399,0
1,1,1,83880,1513,328399,0
1,1,1,125820,1513,328399,0
1,1,1,167760,1513,328399,0
1,1,1,209700,1513,328399,0
1,1,1,419400,1513,328399,0
1,1,1,838800,1513,328399,0
1,1,1,1258200,1513,328399,0
1,1,1,1677600,1513,328399,0
1,1,1,2097000,1513,328399,0
1,1,1,4194000,1513,328399,0
1,1,1,8388000,1513,328399,0
1,1,1,12582000,1513,328399,0
1,1,1,16776000,1513,328399,0
1,1,1,20970000,1513,328399,0
1,1,1,2.097e+09,1513,328399,0
1,1,1,2.097e+12,1513,328399,0
1,1,1,2.097e+15,1513,328399,0
2,0,0.575,419.4,83,16558,64
2,0,0.575,838.8,136,31994,103
2,0,0.575,1258.2,199,42033,116
2,0,0.575,1677.6,221,49164,146
2,0,0.575,2097,243,57181,195
2,0,0.575,4194,445,106037,331
2,0,0.575,8388,891,207969,561
2,0,0.575,12582,1040,248335,669
2,0,0.575,16776,1154,265327,761
2,0,0.575,20970,1298,298558,857
2,0,0.575,41940,1730,391774,1108
2,0,0.575,83880,2287,486329,1573
2,0,0.575,125820,2616,544080,1804
2,0,0.575,167760,2913,584535,2137
2,0,0.575,209700,3297,619826,2306
2,0,0.575,419400,4051,699415,3225
2,0,0.575,838800,4827,744161,4261
2,0,0.575,1258200,5276,765343,5244
2,0,0.575,1677600,5512,769015,5550
2,0,0.575,2097000,5564,768719,5937
2,0,0.575,4194000,5752,774782,6037
2,0,0.575,8388000,5722,774167,6075
2,0,0.575,12582000,5701,778542,6065
2,0,0.575,16776000,5749,779454,5950
2,0,0.575,20970000,5697,771421,6102
2,0,0.575,2.097e+09,5713,773597,6070
2,0,0.575,2.097e+12,5660,773794,6097
2,0,0.575,2.097e+15,5848,790464,6024
2,0,1,419.4,366,84736,0
