"t","Pp","Virus_D","Virions"
39,0.575,-0.33161408331,10654
40,0.575,-0.33161408331,11172
41,0.575,-0.33161408331,11871
42,0.575,-0.33161408331,12184
43,0.575,-0.33161408331,12657
44,0.575,-0.33161408331,13085
45,0.575,-0.33161408331,13451
46,0.575,-0.33161408331,13871
47,0.575,-0.33161408331,14476
48,0.575,-0.33161408331,15123
49,0.575,-0.33161408331,15627
50,0.575,-0.33161408331,16176
51,0.575,-0.33161408331,16634
52,0.575,-0.33161408331,17322
53,0.575,-0.33161408331,18240
54,0.575,-0.33161408331,19335
55,0.575,-0.33161408331,20584
56,0.575,-0.33161408331,21860
57,0.575,-0.33161408331,23492
58,0.575,-0.33161408331,24705
59,0.575,-0.33161408331,25458
60,0.575,-0.33161408331,26138
61,0.575,-0.33161408331,26973
62,0.575,-0.33161408331,28033
63,0.575,-0.33161408331,28741
64,0.575,-0.33161408331,29385
65,0.575,-0.33161408331,29789
66,0.575,-0.33161408331,30072
67,0.575,-0.33161408331,30322
68,0.575,-0.33161408331,30675
69,0.575,-0.33161408331,30837
70,0.575,-0.33161408331,30992
71,0.575,-0.33161408331,31132
72,0.575,-0.33161408331,31641
73,0.575,-0.33161408331,31985
74,0.575,-0.33161408331,32466
75,0.575,-0.33161408331,32644
76,0.575,-0.33161408331,33367
77,0.575,-0.33161408331,34365
78,0.575,-0.33161408331,35423
79,0.575,-0.33161408331,36314
80,0.575,-0.33161408331,37033
81,0.575,-0.33161408331,37420
82,0.575,-0.33161408331,38210
83,0.575,-0.33161408331,38590
84,0.575,-0.33161408331,38790
85,0.575,-0.33161408331,39448
86,0.575,-0.33161408331,39994
87,0.575,-0.33161408331,40680
88,0.575,-0.33161408331,41095
89,0.575,-0.33161408331,41739
90,0.575,-0.33161408331,42473
91,0.575,-0.33161408331,43006
92,0.575,-0.33161408331,43983
93,0.575,-0.33161408331,44991
94,0.575,-0.33161408331,46058
95,0.575,-0.33161408331,47266
96,0.575,-0.33161408331,48174
1,0.575,1.66838591669,36
2,0.575,1.66838591669,57
3,0.575,1.66838591669,83
4,0.575,1.66838591669,111
5,0.575,1.66838591669,143
6,0.575,1.66838591669,204
7,0.575,1.66838591669,256
8,0.575,1.66838591669,326
9,0.575,1.66838591669,446
10,0.575,1.66838591669,607
11,0.575,1.66838591669,708
12,0.575,1.66838591669,821
13,0.575,1.66838591669,1027
14,0.575,1.66838591669,1337
15,0.575,1.66838591669,1861
16,0.575,1.66838591669,2478
17,0.575,1.66838591669,3442
18,0.575,1.66838591669,4938
19,0.575,1.66838591669,7195
20,0.575,1.66838591669,10599
21,0.575,1.66838591669,15776
22,0.575,1.66838591669,23303
23,0.575,1.66838591669,33444
24,0.575,1.66838591669,46879
25,0.575,1.66838591669,63124
26,0.575,1.66838591669,83636
27,0.575,1.66838591669,107634
28,0.575,1.66838591669,133819
29,0.575,1.66838591669,162030
30,0.575,1.66838591669,192203
31,0.575,1.66838591669,224633
32,0.575,1.66838591669,258350
33,0.575,1.66838591669,293725
34,0.575,1.66838591669,331840
35,0.575,1.66838591669,371646
36,0.575,1.66838591669,412286
37,0.575,1.66838591669,457538
38,0.575,1.66838591669,498514
39,0.575,1.66838591669,533728
40,0.575,1.66838591669,558000
41,0.575,1.66838591669,573559
