"Pp","Virus_D","Spread_Frac","Sim","r0"
0.575,3.66838591669,"Diffusion Only",7,0
0.575,3.66838591669,"Diffusion Only",8,0
0.575,3.66838591669,"Diffusion Only",9,0.301029995663981
0.575,3.66838591669,"Diffusion Only",10,0.778151250383644
0.575,0.765295929698057,"Diffusion Only",1,1.27875360095283
0.575,0.765295929698057,"Diffusion Only",2,1.49136169383427
0.575,0.765295929698057,"Diffusion Only",3,1.34242268082221
0.575,0.765295929698057,"Diffusion Only",4,1.11394335230684
0.575,0.765295929698057,"Diffusion Only",5,1.36172783601759
0.575,0.765295929698057,"Diffusion Only",6,1.50514997831991
0.575,0.765295929698057,"Diffusion Only",7,1.55630250076729
